power,mu1,mu2,sd1,sd2,n1,n2,n_sim,datetime
0.0465,0,0,1,1,10,10,10000,2024-09-04T22:10:38Z
0.0507,0,0,1,1,10,20,10000,2024-09-04T22:11:22Z
0.0503,0,0,1,1,10,30,10000,2024-09-04T22:12:11Z
0.0496,0,0,1,1,10,40,10000,2024-09-04T22:12:59Z
0.0475,0,0,1,1,10,50,10000,2024-09-04T22:13:58Z
0.052,0,0,1,1,20,10,10000,2024-09-04T22:10:45Z
0.0467,0,0,1,1,20,20,10000,2024-09-04T22:11:31Z
0.0503,0,0,1,1,20,30,10000,2024-09-04T22:12:21Z
0.0504,0,0,1,1,20,40,10000,2024-09-04T22:13:13Z
0.0502,0,0,1,1,20,50,10000,2024-09-04T22:14:08Z
0.0515,0,0,1,1,30,10,10000,2024-09-04T22:10:54Z
0.0482,0,0,1,1,30,20,10000,2024-09-04T22:11:40Z
0.0511,0,0,1,1,30,30,10000,2024-09-04T22:12:34Z
0.052,0,0,1,1,30,40,10000,2024-09-04T22:13:23Z
0.0492,0,0,1,1,30,50,10000,2024-09-04T22:14:17Z
0.0471,0,0,1,1,40,10,10000,2024-09-04T22:11:01Z
0.05,0,0,1,1,40,20,10000,2024-09-04T22:11:53Z
0.0516,0,0,1,1,40,30,10000,2024-09-04T22:12:42Z
0.0482,0,0,1,1,40,40,10000,2024-09-04T22:13:33Z
0.0455,0,0,1,1,40,50,10000,2024-09-04T22:14:27Z
0.05,0,0,1,1,50,10,10000,2024-09-04T22:11:13Z
0.0496,0,0,1,1,50,20,10000,2024-09-04T22:12:02Z
0.0468,0,0,1,1,50,30,10000,2024-09-04T22:12:51Z
0.0483,0,0,1,1,50,40,10000,2024-09-04T22:13:42Z
0.054,0,0,1,1,50,50,10000,2024-09-04T22:14:40Z
0.0489,0,0,1,2,10,10,10000,2024-09-04T22:10:38Z
0.0525,0,0,1,2,10,20,10000,2024-09-04T22:11:27Z
0.0536,0,0,1,2,10,30,10000,2024-09-04T22:12:16Z
0.0476,0,0,1,2,10,40,10000,2024-09-04T22:13:03Z
0.0498,0,0,1,2,10,50,10000,2024-09-04T22:13:59Z
0.0495,0,0,1,2,20,10,10000,2024-09-04T22:10:49Z
0.0516,0,0,1,2,20,20,10000,2024-09-04T22:11:36Z
0.0498,0,0,1,2,20,30,10000,2024-09-04T22:12:25Z
0.0493,0,0,1,2,20,40,10000,2024-09-04T22:13:13Z
0.0478,0,0,1,2,20,50,10000,2024-09-04T22:14:13Z
0.0491,0,0,1,2,30,10,10000,2024-09-04T22:10:57Z
0.053900000000000003,0,0,1,2,30,20,10000,2024-09-04T22:11:44Z
0.0508,0,0,1,2,30,30,10000,2024-09-04T22:12:35Z
0.0469,0,0,1,2,30,40,10000,2024-09-04T22:13:28Z
0.0498,0,0,1,2,30,50,10000,2024-09-04T22:14:22Z
0.0548,0,0,1,2,40,10,10000,2024-09-04T22:11:05Z
0.0512,0,0,1,2,40,20,10000,2024-09-04T22:11:53Z
0.0506,0,0,1,2,40,30,10000,2024-09-04T22:12:46Z
